TeamID,Team,Year,dPTS,PTS,aPTS,Ring,W,Playoffs
142,San Antonio Spurs,2009,0.572288483,-0.698786342,-1.271074825,0,54,1
325,Utah Jazz,2015,0.56502187,-1.160192845,-1.725214715,0,38,0
397,Minnesota Timberwolves,2018,0.562732999,0.854848527,0.292115528,0,47,1
62,Denver Nuggets,2007,0.546893573,1.661523556,1.114629983,0,45,1
229,Memphis Grizzlies,2012,0.542542938,-0.323383752,-0.86592669,0,50.93939394,1
10,Oklahoma City Thunder,2005,0.539674671,0.404540476,-0.135134195,0,52,1
32,Washington Wizards,2006,0.531985631,1.167676333,0.635690702,0,42,1
44,Cleveland Cavaliers,2006,0.521572164,0.144044062,-0.377528102,0,50,1
256,Brooklyn Nets,2013,0.517341401,-0.29253962,-0.809881021,0,49,1
357,Utah Jazz,2016,0.509035188,-1.339073376,-1.848108564,0,40,0
191,Memphis Grizzlies,2011,0.504581753,0.098196792,-0.406384961,0,46,1
299,Chicago Bulls,2014,0.493280477,-1.779783016,-2.273063493,0,48,1
346,Indiana Pacers,2016,0.467447643,-0.137508757,-0.6049564,0,45,1
128,Dallas Mavericks,2009,0.466522967,0.431603329,-0.034919638,0,50,1
7,Denver Nuggets,2005,0.465255733,0.540330286,0.075074553,0,49,1
181,New York Knicks,2011,0.464466655,1.752199001,1.287732346,0,42,1
352,Miami Heat,2016,0.459463816,-0.703913877,-1.163377693,0,48,1
302,Dallas Mavericks,2015,0.458444663,1.238505862,0.780061199,0,50,1
406,Indiana Pacers,2018,0.452789725,-0.206342748,-0.659132473,0,48,1
1,Sacramento Kings,2005,0.438422998,1.513490592,1.075067594,0,50,1
364,Washington Wizards,2017,0.427939251,0.885341095,0.457401844,0,49,1
90,Golden State Warriors,2008,0.420385767,2.189365751,1.768979984,0,48,0
296,Memphis Grizzlies,2014,0.411971736,-1.177667369,-1.589639105,0,50,1
174,Miami Heat,2010,0.404426631,-0.984394027,-1.388820658,0,47,1
39,Sacramento Kings,2006,0.393381311,0.462779859,0.069398548,0,44,1
316,Washington Wizards,2015,0.391957092,-0.350958336,-0.742915428,0,46,1
224,Los Angeles Lakers,2012,0.365397792,0.265636653,-0.099761139,0,50.93939394,1
323,Indiana Pacers,2015,0.364829762,-0.638106065,-1.002935827,0,38,0
15,Minnesota Timberwolves,2005,0.363619868,-0.101842358,-0.465462226,0,44,0
321,Milwaukee Bucks,2015,0.362830773,-0.516285816,-0.879116589,0,41,1
46,Los Angeles Clippers,2006,0.362428889,0.045971509,-0.31645738,0,47,1
52,Indiana Pacers,2006,0.35633171,-0.784580423,-1.140912133,0,41,1
304,Oklahoma City Thunder,2015,0.34252338,0.936855722,0.594332342,0,45,0
315,New Orleans Pelicans,2015,0.33452361,-0.156626034,-0.491149644,0,45,1
285,Washington Wizards,2014,0.314825585,-0.085594871,-0.400420456,0,44,1
395,Denver Nuggets,2018,0.311747039,0.985859795,0.674112756,0,46,0
172,Milwaukee Bucks,2010,0.304539866,-0.694866372,-0.999406238,0,46,1
20,Chicago Bulls,2005,0.300415682,-0.636514735,-0.936930417,0,47,1
380,Miami Heat,2017,0.292570556,-0.594228938,-0.886799494,0,41,0
197,Philadelphia 76ers,2011,0.289143714,-0.135020589,-0.424164303,0,41,1
412,Miami Heat,2018,0.258337372,-0.782792329,-1.041129701,0,44,1
228,Dallas Mavericks,2012,0.25575788,-0.119344004,-0.375101884,0,44.72727273,1
24,Indiana Pacers,2005,0.246050429,-0.973160306,-1.219210735,0,44,1
70,Toronto Raptors,2007,0.241162887,0.183932497,-0.05723039,0,47,1
53,New Jersey Nets,2006,0.234655603,-0.809098562,-1.043754165,0,49,1
230,Orlando Magic,2012,0.226911354,-0.531273306,-0.75818466,0,45.96969697,1
